Document Name(Prompt Values)	Prompt Name
AS001-Assignment Events,	1) Date Begin:,	
AS001-Assignment Events,	2) Date End:,	
AS001-Assignment Events,	4) Truck Name:,	
AS002-Off Course Assignments, by Truck,	1) Date Begin:,	
AS002-Off Course Assignments, by Truck,	2) Date End:,	
AS002-Off Course Assignments, by Truck,	4) Truck Name:,	
AS003-Off Course Assignments, by Destination,	1) Date Begin:,	
AS003-Off Course Assignments, by Destination,	2) Date End:,	
AS003-Off Course Assignments, by Destination,	3) Destination,	
AS003-Off Course Assignments, by Destination,	4) Truck Name:,	
AS003-Off Course Assignments, by Destination,	7) Destination:,	
AS100-Production Plans,	1) Date Begin:,	
AS100-Production Plans,	2) Date End:,	
DB407-All Tables and Index Extents,	DB User,	
DBMgmt-Partitioned Tables,	Minimum # of partitions,	
HE001-Health Events-By Class,Truck,Date Range-Detail,	1) Date Begin:,	
HE001-Health Events-By Class,Truck,Date Range-Detail,	2) Date End:,	
HE001-Health Events-By Class,Truck,Date Range-Detail,	4) Mobile Machine Name:,	
HE002-Health Events-By Class,Truck,Period-Detail,	3) Period:,	
HE002-Health Events-By Class,Truck,Period-Detail,	4) Truck Name:,	
HE005-Maintenance Events-By Class,Truck,Date Range-Detail,	1) Date Begin:,	
HE005-Maintenance Events-By Class,Truck,Date Range-Detail,	2) Date End:,	
HE005-Maintenance Events-By Class,Truck,Date Range-Detail,	4) Truck Name:,	
HE008-Critical Health Events-By Class,Truck,Date Range-Detail,	1) Date Begin:,	
HE008-Critical Health Events-By Class,Truck,Date Range-Detail,	2) Date End:,	
HE008-Critical Health Events-By Class,Truck,Date Range-Detail,	3) Truck(s),
HE009-Health Events with GPS By Truck,Date Range-Detail,	1) Date Begin:,	
HE009-Health Events with GPS By Truck,Date Range-Detail,	2) Date End:,	
HE009-Health Events with GPS By Truck,Date Range-Detail,	4) Truck Name:,	
HE010-Trends-By Group,Truck-Detail,	1) Date Begin:,	
HE010-Trends-By Group,Truck-Detail,	2) Date End:,	
HE010-Trends-By Group,Truck-Detail,	3) Truck(s):,
HE010-Trends-By Group,Truck-Detail,	4) Channel Group(s):,
HE011-Histogram-By Group,Truck-Detail,	1) Date Begin:,	
HE011-Histogram-By Group,Truck-Detail,	2) Date End:,	
HE011-Histogram-By Group,Truck-Detail,	3) Truck(s):,
HE012-Cumulatives-By Name,Truck-Detail,	1) Date Begin:,	
HE012-Cumulatives-By Name,Truck-Detail,	2) Date End:,	
